date,month_label,provider,country_iso3,order_payment_type,payment_method,card_brand,gender,offer,orders_count,total_payout_usd
2025-10-01,Oct 2025,PP,USA,recurring,APM,Unknown,male,2828,6071,213592.5183
2025-10-01,Oct 2025,PP,USA,recurring,APM,Unknown,male,8484,1574,111027.3096
2025-10-01,Oct 2025,Che,USA,recurring,apple_pay,VISA,male,2828,2291,74062.7017
2025-10-01,Oct 2025,Che,USA,recurring,apple_pay,MASTERCARD,male,2828,2109,68105.27544
2025-10-01,Oct 2025,Nuv,GBR,recurring,apple_pay,VISA,male,2828,968,50789.32435
2025-10-01,Oct 2025,Raz,IND,recurring,card,VISA,male,2828,1216,47045.24837
2025-10-01,Oct 2025,PP,USA,upsell,APM,Unknown,male,No offer,858,43224.90181
2025-10-01,Oct 2025,Che,USA,recurring,apple_pay,VISA,male,8484,545,36971.84886
2025-10-01,Oct 2025,PP,DEU,recurring,APM,Unknown,male,2828,837,36512.96454
2025-10-01,Oct 2025,PP,MEX,recurring,APM,Unknown,male,2828,946,34719.51516
2025-10-01,Oct 2025,Nuv,IND,upsell,card,VISA,male,No offer,619,31379.93269
2025-10-01,Oct 2025,Ad,USA,recurring,card,AMEX,male,2828,774,30862.26
2025-10-01,Oct 2025,Ad,GBR,recurring,apple_pay,MASTERCARD,male,2828,550,30561.19371
2025-10-01,Oct 2025,PP,AUS,recurring,APM,Unknown,male,2828,784,30339.34815
2025-10-01,Oct 2025,PP,CAN,recurring,APM,Unknown,male,2828,751,29321.02579
2025-10-01,Oct 2025,Che,USA,recurring,apple_pay,MASTERCARD,male,8484,448,28383.98571
2025-10-01,Oct 2025,Pay,AUS,recurring,apple_pay,MASTERCARD,male,2828,689,27818.46
2025-10-01,Oct 2025,Raz,IND,first,card,VISA,male,2828,1446,27609.4092
2025-10-01,Oct 2025,Sol,CAN,recurring,card,VISA,male,2828,626,26139.45304
2025-10-01,Oct 2025,PP,GBR,recurring,APM,Unknown,male,2828,511,25681.2959
2025-10-01,Oct 2025,Che,MEX,recurring,card,VISA,male,2828,802,25294.12784
2025-10-01,Oct 2025,Sol,CAN,recurring,card,MASTERCARD,male,2828,564,23147.65952
2025-10-01,Oct 2025,Ad,USA,recurring,apple_pay,AMEX,male,2828,561,22434.39
2025-10-01,Oct 2025,Sol,ZAF,recurring,card,VISA,male,2828,592,21709.09758
2025-10-01,Oct 2025,PP,USA,first,APM,Unknown,male,2828,1244,21595.02185
2025-10-01,Oct 2025,PP,ITA,recurring,APM,Unknown,male,2828,481,21401.4841
2025-10-01,Oct 2025,Sol,AUS,recurring,card,MASTERCARD,male,2828,516,21159.77
2025-10-01,Oct 2025,Eb,BRA,recurring,card,VISA,male,2828,519,20235.14641
2025-10-01,Oct 2025,PP,DEU,upsell,APM,Unknown,male,No offer,364,19889.63008
2025-10-01,Oct 2025,Ad,AUS,recurring,apple_pay,VISA,male,2828,474,19743.41
2025-10-01,Oct 2025,Raz,IND,upsell,card,VISA,male,No offer,353,19641.71489
2025-10-01,Oct 2025,Raz,IND,recurring,card,MASTERCARD,male,2828,499,19287.73697
2025-10-01,Oct 2025,PP,USA,first,APM,Unknown,male,8484,548,19285.9409
2025-10-01,Oct 2025,PP,DEU,recurring,APM,Unknown,male,8484,185,16559.22554
2025-10-01,Oct 2025,Eb,BRA,recurring,card,MASTERCARD,male,2828,432,16556.62893
2025-10-01,Oct 2025,Che,USA,recurring,card,AMEX,male,2828,420,16347.11713
2025-10-01,Oct 2025,Ad,USA,recurring,card,AMEX,male,8484,202,16097.98
2025-10-01,Oct 2025,Che,USA,upsell,apple_pay,MASTERCARD,male,No offer,356,15895.63002
2025-10-01,Oct 2025,PP,USA,recurring,APM,Unknown,female,2828,438,15396.55983
2025-10-01,Oct 2025,PP,AUS,recurring,APM,Unknown,male,8484,197,15289.8144
2025-10-01,Oct 2025,Sol,USA,recurring,apple_pay,VISA,male,2828,385,15236.15
2025-10-01,Oct 2025,Nuv,GBR,recurring,apple_pay,MASTERCARD,male,2828,314,15028.7672
2025-10-01,Oct 2025,Raz,IND,recurring,card,VISA,male,8484,191,14935.9207
2025-10-01,Oct 2025,Nuv,FRA,recurring,apple_pay,VISA,male,2828,302,14740.79511
2025-10-01,Oct 2025,Ad,CAN,recurring,apple_pay,VISA,male,2828,333,13798.72
2025-10-01,Oct 2025,Nuv,GBR,upsell,apple_pay,VISA,male,No offer,209,13740.55358
2025-10-01,Oct 2025,Che,USA,first,apple_pay,MASTERCARD,male,2828,796,13466.68087
2025-10-01,Oct 2025,Eb,MEX,recurring,card,VISA,male,2828,359,13417.49863
2025-10-01,Oct 2025,Nuv,GBR,recurring,apple_pay,VISA,male,8484,120,13297.04502
2025-10-01,Oct 2025,Sol,CAN,recurring,card,VISA,male,8484,162,12996.0
2025-10-01,Oct 2025,Sol,USA,recurring,card,VISA,male,2828,328,12726.72
2025-10-01,Oct 2025,PP,GBR,recurring,APM,Unknown,male,8484,122,12430.73835
2025-10-01,Oct 2025,PP,MEX,upsell,APM,Unknown,male,No offer,284,12429.62076
2025-10-01,Oct 2025,PP,AUS,upsell,APM,Unknown,male,No offer,234,12353.34268
2025-10-01,Oct 2025,Che,USA,first,apple_pay,MASTERCARD,male,8484,385,12183.85567
2025-10-01,Oct 2025,Ad,BRA,recurring,apple_pay,VISA,male,2828,308,12001.80562
2025-10-01,Oct 2025,Eb,MEX,recurring,card,MASTERCARD,male,2828,327,11948.29818
2025-10-01,Oct 2025,Raz,IND,first,card,VISA,male,8484,321,11765.33067
2025-10-01,Oct 2025,Nuv,GBR,first,apple_pay,VISA,male,2828,433,11681.49386
2025-10-01,Oct 2025,Pay,BRA,recurring,apple_pay,MASTERCARD,male,2828,306,11077.1
2025-10-01,Oct 2025,PP,USA,recurring,APM,Unknown,male,728,297,10995.383
2025-10-01,Oct 2025,PP,CAN,recurring,APM,Unknown,male,8484,141,10817.65826
2025-10-01,Oct 2025,PP,FRA,recurring,APM,Unknown,male,2828,249,10802.10858
2025-10-01,Oct 2025,Sol,ZAF,recurring,apple_pay,VISA,male,2828,292,10560.19433
2025-10-01,Oct 2025,Ad,JPN,recurring,apple_pay,VISA,male,2828,276,10494.4797
2025-10-01,Oct 2025,PP,MEX,recurring,APM,Unknown,male,8484,143,10448.31204
2025-10-01,Oct 2025,Raz,IND,first,card,MASTERCARD,male,2828,544,10433.5285
2025-10-01,Oct 2025,Sol,FRA,recurring,apple_pay,VISA,male,2828,196,10362.80788
2025-10-01,Oct 2025,Che,USA,upsell,card,AMEX,male,No offer,175,9867.94487
2025-10-01,Oct 2025,PP,DEU,first,APM,Unknown,male,2828,377,9632.966008
2025-10-01,Oct 2025,Ad,ARE,recurring,apple_pay,VISA,male,2828,244,9607.56
2025-10-01,Oct 2025,Ad,USA,recurring,card,VISA,male,2828,246,9527.57
2025-10-01,Oct 2025,Che,USA,recurring,card,VISA,male,2828,280,9446.778403
2025-10-01,Oct 2025,PP,CAN,upsell,APM,Unknown,male,No offer,202,9415.252896
2025-10-01,Oct 2025,Ad,AUS,recurring,apple_pay,VISA,male,8484,111,9348.92
2025-10-01,Oct 2025,Sol,CAN,upsell,card,VISA,male,No offer,170,9105.203331
2025-10-01,Oct 2025,Che,USA,first,card,VISA,male,2828,537,9098.84952
2025-10-01,Oct 2025,Nuv,ESP,recurring,apple_pay,VISA,male,2828,191,8945.435024
2025-10-01,Oct 2025,Eb,PER,recurring,card,VISA,male,2828,234,8910.843587
2025-10-01,Oct 2025,Sol,BRA,recurring,apple_pay,MASTERCARD,male,2828,219,8735.291865
2025-10-01,Oct 2025,Sol,AUS,recurring,card,MASTERCARD,male,8484,102,8580.76
2025-10-01,Oct 2025,Ad,GBR,recurring,apple_pay,AMEX,male,2828,156,8527.638651
2025-10-01,Oct 2025,Ad,USA,first,card,VISA,male,2828,425,8451.76
